Cell.type,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
Fibro,ENSG00000275348,16.40923455846779,-28.658581977685536,1.4939399976140149,-19.18322156408987,5.1113127093382436e-82,1.3821500697321544e-77,NA
Mono,ENSG00000231482,24.637561870861383,-19.525389110067618,1.4864745876007752,-13.135366909690879,2.0648814895911414e-39,4.321796957714259e-35,NA
Fibro,ENSG00000236362,156.72153495960563,15.671260481886083,1.4741229303566614,10.63090476321025,2.1402595646003947e-26,2.8937379443179637e-22,GAGE2C
Mono,ENSG00000236362,66.85538725675372,14.9199181427397,1.4755820490469935,10.111208761570222,4.9272554333054676e-24,5.1563728109541716e-20,GAGE2C
T cell ,ENSG00000211898,1250.8945939706805,5.3963141460359285,0.5736574896725846,9.406857302806033,5.111927084102143e-21,6.88026560141148e-17,IGHD
T cell ,ENSG00000236362,33.3454675058445,13.847334755776307,1.4755916145295982,9.384259587427026,6.3360029481641776e-21,6.88026560141148e-17,GAGE2C
Mono,ENSG00000240864,454.6398173476611,-5.592253682266071,0.6982950681019661,-8.008439322744124,1.1617325490905244e-15,8.10502075082156e-12,IGKV1-16
T cell ,ENSG00000211660,1595.7687469823197,5.394887727221125,0.676722753800884,7.972079698695182,1.5602612638206524e-15,1.1295251375885643e-11,IGLV2-23
T cell ,ENSG00000211666,3543.079217427513,3.620706707273541,0.48417991804570076,7.478019166692886,7.545119578001674e-14,4.096622674876009e-10,IGLV2-14
T cell ,ENSG00000211638,967.094078285016,5.736669406121014,0.7755477174954621,7.39692642594178,1.3937271865353038e-13,6.053793407434747e-10,IGLV8-61
T cell ,ENSG00000211966,1043.2181542740047,5.128743095111182,0.6998130327007067,7.328733326554984,2.323381771153246e-13,8.409867550984365e-10,IGHV5-51
T cell ,ENSG00000211654,482.8907274010078,5.218100791567981,0.7237559926853673,7.209751413880734,5.605411263757616e-13,1.7391188832326844e-9,IGLV5-37
T cell ,ENSG00000231475,1252.037152254276,4.338771578664523,0.6263765000422821,6.926778987352885,4.305303865701595e-12,1.1687823669413406e-8,IGHV4-30-2
T cell ,ENSG00000232216,2028.8271200508589,4.631754335100576,0.6925031885766574,6.688423117040794,2.2558810816506343e-11,5.443691703476498e-8,IGHV3-43
T cell ,ENSG00000138639,149.81057126114737,2.6300965792869078,0.3973288865939457,6.619444666691857,3.605507695504099e-11,7.830441613095804e-8,ARHGAP24
T cell ,ENSG00000278196,1209.4673174642842,4.664693107931175,0.7079957942825118,6.588588725528249,4.4402687703135874e-11,8.766705195788226e-8,IGLV2-8
Mono,ENSG00000145414,474.31600015421594,0.9814697124389999,0.15083673007480028,6.506834986095806,7.675063937113825e-11,4.0159772050948093e-7,"NAF1"
T cell ,ENSG00000259997,78.54736427097421,-8.776319906302726,1.3931082408995326,-6.299811923182538,2.980070198083149e-10,5.393430380164152e-7,NA
T cell ,ENSG00000211899,12320.711902485611,3.125782444703078,0.504079631172809,6.200969552033922,5.611637078806998e-10,9.374887236733106e-7,IGHM
T cell ,ENSG00000126545,1370.8886315435293,-3.876844202874178,0.6348347775321099,-6.106855421414098,1.0161320599631507e-9,1.5763111484485504e-6,CSN1S1
