maximin_lfc,Bm1,Bm5,sorted_GC,sorted_Pre_GC
1,FAM129C,TNFRSF1B,PCNA,HM13
2,COL19A1,CD82,BPNT1,CRELD2
3,SH3BP2,IRF5,METAP2,MBNL2
4,FOXP1,ITGB7,RRM2B,SEL1L
5,CD72,ARID5A,MSH6,TXNDC11
6,MYO7B,ITGB1,HMGB2,MYDGF
7,DUSP6,AHNAK,CBX3,MZB1
8,AFF3,PLEKHO2,LMNB1,KDELR2
9,PHACTR1,AKAP11,SLBP,SEC61A1
10,ABCB4,RAB31,HIST1H4C,IGHM
11,SLA,IVD,PHF6,RPN1
12,CEMIP2,NLRC5,LRMP,PLD3
13,NFATC3,CAPG,HMGN2,ATF6
14,SMAD3,FLNA,TERF2,SSR4
15,CRTC3,VAV2,STMN1,HYOU1
16,RPS6KA3,PLXNC1,PARN,HSPA13
17,ARL4C,ATP2B1,NCAPD2,P4HB
18,HECTD4,MYO1F,HMGN1,HSP90B1
19,MTHFR,TNFRSF13B,CEP57,PPIB
20,KDM4C,CDC42EP3,SMC4,LMAN1
21,RASA2,IVNS1ABP,DPP3,SEC11C
22,SLC38A1,PIK3R5,EED,PRDM1
23,BTLA,SEMA4D,TMEM106C,SEC24D
24,ARNT,SLC4A7,DEK,PIM2
25,FOXO1,SEMA7A,CCND3,GMPPB
26,CD83,CBFA2T3,LPP,XBP1
27,APPL1,ACSL1,ARHGEF7,JCHAIN
28,APOBEC3F,OAS3,HMGB1,UBA5
29,LARGE2,ZBTB20,PSIP1,RPN2
30,VAV3,FAM49A,RRM2,SELENOK
31,ARID1A,MS4A7,USP12,MAN1A1
32,ITGA4,KYNU,H2AFZ,COPG1
33,MFN1,DOCK10,ITGAE,RRBP1
34,CR2,MFSD10,USP1,SSR2
35,UTRN,ULK3,RFC2,HSPA5
36,TREML2,SCPEP1,DAAM1,ST6GALNAC4
37,NT5C3A,PIKFYVE,CSE1L,SLC38A10
38,USF3,NBEAL2,SRSF10,SPCS3
39,PIK3CA,ZDHHC14,DUT,SRPRA
40,SNX29,MAP4,JPT1,TRAM1
41,PIK3C2B,EHD3,TFDP1,PREB
42,SAV1,CCDC50,KLHL5,TMEM214
43,TRIM44,FAM102A,KIF22,IGLC2
44,CD1D,PPM1M,VNN2,B4GALT3
45,SIDT1,MYO1G,DDX39A,TRIB1
46,CAMK1D,HCP5,TUBA1B,TMED2
47,ARL11,ADAM8,GLRX3,ADA2
48,PDLIM1,LRRK2,RRM1,IGKC
49,PTGER4,SIGLEC10,OGG1,DNAJB9
50,BCL11A,ST3GAL5,CHIC2,PRKCSH
51,CD84,TCIRG1,RAN,CALR
52,NSD3,ACP5,GRHPR,OS9
53,SLC12A6,ADGRE5,DEF8,CHPF2
54,KDM7A,SP140,MCM6,MBTPS1
55,PHF11,RASSF1,YWHAH,LMAN2
56,S1PR1,ABTB1,PLIN3,STT3A
57,FCRL1,BTN3A1,MCM7,GLCCI1
58,PTPN22,MIIP,PM20D2,SLC44A1
59,SNX2,ARHGAP25,FAM76B,ARFGAP3
60,FCER2,SLC12A9,TSC1,CALU
61,HMBOX1,PTPN1,RANBP1,HERPUD1
62,MYLIP,TARBP1,RRAS2,MAGT1
63,C1orf162,CMTM6,PRPSAP2,CD46
64,TAPT1,EMP3,DLD,SSR3
65,TTC9,RUNX3,TMPO,DNAJB11
66,RNF41,TNIP2,RPAP3,SPCS1
67,HVCN1,RHBDF2,TACC3,CREB3L2
68,JAK3,TAP1,LSM8,GALNT2
69,CHSY1,TLE4,PTTG1,DDOST
70,RBL2,ZBTB7A,SSBP2,FBH1
71,SP140L,PREX1,FANCA,IRF4
72,STIM1,PSMB9,POLD1,TMED5
73,CHMP7,SEMA4B,TUBB,GOLGA5
74,APOBEC3C,NA,TOPBP1,PDIA4
75,PIK3IP1,NA,GNA13,ARMCX3
76,PARP9,NA,USP22,SRP54
77,DGKD,NA,CBX5,CHST2
78,PPM1K,NA,GRSF1,PDXK
79,TSPAN13,NA,SNRPD1,TP53INP1
80,SFSWAP,NA,VEZT,ARF4
81,AC119396.1,NA,IKBKE,RHBDD1
82,DMXL1,NA,MTCH2,TMEM39A
83,ZNF101,NA,MCM3,SPCS2
84,WDFY2,NA,WEE1,SURF4
85,SRSF8,NA,TIMELESS,SSR1
86,MYADM,NA,CAND1,HDLBP
87,PRKCE,NA,OTULIN,USO1
88,NCKAP1L,NA,IMP4,ALG5
89,ABHD17B,NA,COP1,SRGN
90,RUNDC1,NA,PPIA,DERL2
91,ADAM19,NA,NSD2,TMED9
92,MAP3K8,NA,SHCBP1,MGAT1
93,ZNF331,NA,NUP58,SEC31A
94,APEX1,NA,H2AFV,SLC3A2
95,KBTBD2,NA,SMS,BCKDK
96,NIPBL,NA,RAP1B,IGHG1
97,ARHGEF18,NA,SNAP23,AC233755.2
98,IFITM2,NA,XPNPEP1,PNOC
99,OSGEP,NA,MTF2,TMED10
100,LINC00926,NA,TUBB4B,SEC23B
101,RLF,NA,H2AFY,LRPAP1
102,NA,NA,SMC3,ELL
103,NA,NA,SFXN1,SDF4
104,NA,NA,RCC2,AC233755.1
105,NA,NA,RAD17,NPC2
106,NA,NA,MLH1,FBXW7
107,NA,NA,HDAC1,EIF2AK3
108,NA,NA,DNMT1,ARCN1
109,NA,NA,C19orf48,ERGIC2
110,NA,NA,KPNA2,EDEM3
111,NA,NA,MTMR12,DERL1
112,NA,NA,PEX5,CD63
113,NA,NA,NPM1,ZNF275
114,NA,NA,GCH1,MESD
115,NA,NA,CPSF3,ATG13
116,NA,NA,RBBP7,GFPT1
117,NA,NA,ESD,SEC63
